2025-08-26 15:05:31 - 
Experiment Configuration:
2025-08-26 15:05:31 - --------------------------------------------------
2025-08-26 15:05:31 - dataset: ds005863
2025-08-26 15:05:31 - use_combined_datasets: False
2025-08-26 15:05:31 - electrode_list: common
2025-08-26 15:05:31 - classifier: ShallowFBCSPNet
2025-08-26 15:05:31 - separate_subject_classification: True
2025-08-26 15:05:31 - use_subject_layer: False
2025-08-26 15:05:31 - seeds: [1]
2025-08-26 15:05:31 - --------------------------------------------------
2025-08-26 15:05:31 - 
==================================================
2025-08-26 15:05:31 - Processing Active Visual Oddball Dataset
2025-08-26 15:05:31 - ==================================================
2025-08-26 15:05:35 - Subject: sub-001, Accuracy: 85.714%
2025-08-26 15:05:36 - Subject: sub-002, Accuracy: 92.857%
2025-08-26 15:05:37 - Subject: sub-003, Accuracy: 92.857%
2025-08-26 15:05:38 - Subject: sub-004, Accuracy: 92.857%
2025-08-26 15:05:39 - Subject: sub-005, Accuracy: 90.476%
2025-08-26 15:05:40 - Subject: sub-006, Accuracy: 90.476%
2025-08-26 15:05:41 - Subject: sub-007, Accuracy: 92.857%
2025-08-26 15:05:43 - Subject: sub-008, Accuracy: 90.476%
2025-08-26 15:05:44 - Subject: sub-009, Accuracy: 90.476%
2025-08-26 15:05:45 - Subject: sub-010, Accuracy: 92.857%
2025-08-26 15:05:46 - Subject: sub-011, Accuracy: 88.095%
2025-08-26 15:05:48 - Subject: sub-012, Accuracy: 92.857%
2025-08-26 15:05:49 - Subject: sub-013, Accuracy: 92.857%
2025-08-26 15:05:50 - Subject: sub-014, Accuracy: 92.857%
2025-08-26 15:05:51 - Subject: sub-015, Accuracy: 95.238%
2025-08-26 15:05:53 - Subject: sub-016, Accuracy: 90.476%
2025-08-26 15:05:54 - Subject: sub-017, Accuracy: 92.857%
2025-08-26 15:05:55 - Subject: sub-018, Accuracy: 92.857%
2025-08-26 15:05:56 - Subject: sub-019, Accuracy: 95.238%
2025-08-26 15:05:57 - Subject: sub-020, Accuracy: 92.857%
2025-08-26 15:05:58 - Subject: sub-021, Accuracy: 90.476%
2025-08-26 15:05:59 - Subject: sub-022, Accuracy: 92.857%
2025-08-26 15:06:00 - Subject: sub-023, Accuracy: 90.476%
2025-08-26 15:06:01 - Subject: sub-024, Accuracy: 92.857%
2025-08-26 15:06:02 - Subject: sub-025, Accuracy: 90.476%
2025-08-26 15:06:03 - Subject: sub-026, Accuracy: 90.476%
2025-08-26 15:06:05 - Subject: sub-027, Accuracy: 92.857%
2025-08-26 15:06:06 - Subject: sub-028, Accuracy: 88.095%
2025-08-26 15:06:07 - Subject: sub-029, Accuracy: 90.476%
2025-08-26 15:06:09 - Subject: sub-030, Accuracy: 92.857%
2025-08-26 15:06:10 - Subject: sub-031, Accuracy: 92.857%
2025-08-26 15:06:11 - Subject: sub-032, Accuracy: 92.857%
2025-08-26 15:06:12 - Subject: sub-033, Accuracy: 92.857%
2025-08-26 15:06:13 - Subject: sub-034, Accuracy: 85.714%
2025-08-26 15:06:14 - Subject: sub-035, Accuracy: 90.476%
2025-08-26 15:06:16 - Subject: sub-036, Accuracy: 92.857%
2025-08-26 15:06:17 - Subject: sub-037, Accuracy: 92.857%
2025-08-26 15:06:18 - Subject: sub-038, Accuracy: 92.857%
2025-08-26 15:06:20 - Subject: sub-039, Accuracy: 88.095%
2025-08-26 15:06:21 - Subject: sub-040, Accuracy: 92.857%
2025-08-26 15:06:22 - Subject: sub-041, Accuracy: 92.857%
2025-08-26 15:06:24 - Subject: sub-042, Accuracy: 90.476%
2025-08-26 15:06:25 - Subject: sub-043, Accuracy: 92.857%
