2025-08-13 18:46:32 - 
Experiment Configuration:
2025-08-13 18:46:32 - --------------------------------------------------
2025-08-13 18:46:32 - dataset: P3 Raw Data BIDS-Compatible
2025-08-13 18:46:32 - use_combined_datasets: False
2025-08-13 18:46:32 - electrode_list: common
2025-08-13 18:46:32 - classifier: lda
2025-08-13 18:46:32 - separate_subject_classification: True
2025-08-13 18:46:32 - use_subject_layer: False
2025-08-13 18:46:32 - seeds: [1]
2025-08-13 18:46:32 - --------------------------------------------------
2025-08-13 18:46:32 - 
==================================================
2025-08-13 18:46:32 - Processing P3 Dataset
2025-08-13 18:46:32 - ==================================================
2025-08-13 18:47:04 - Subject: sub-001, Accuracy: 92.593%
2025-08-13 18:47:33 - Subject: sub-002, Accuracy: 90.123%
2025-08-13 18:48:10 - Subject: sub-003, Accuracy: 91.250%
2025-08-13 18:48:53 - Subject: sub-004, Accuracy: 93.827%
2025-08-13 18:49:30 - Subject: sub-005, Accuracy: 92.500%
2025-08-13 18:50:04 - Subject: sub-006, Accuracy: 85.000%
2025-08-13 18:50:42 - Subject: sub-007, Accuracy: 97.531%
2025-08-13 18:51:20 - Subject: sub-008, Accuracy: 87.013%
2025-08-13 18:52:00 - Subject: sub-009, Accuracy: 92.593%
2025-08-13 18:52:41 - Subject: sub-010, Accuracy: 90.000%
2025-08-13 18:53:26 - Subject: sub-011, Accuracy: 92.593%
2025-08-13 18:54:09 - Subject: sub-012, Accuracy: 93.827%
2025-08-13 18:54:58 - Subject: sub-013, Accuracy: 92.500%
2025-08-13 18:55:46 - Subject: sub-014, Accuracy: 93.750%
2025-08-13 18:56:33 - Subject: sub-015, Accuracy: 83.951%
2025-08-13 18:57:23 - Subject: sub-016, Accuracy: 95.062%
2025-08-13 18:58:09 - Subject: sub-017, Accuracy: 95.062%
2025-08-13 18:58:59 - Subject: sub-018, Accuracy: 95.062%
2025-08-13 18:59:48 - Subject: sub-019, Accuracy: 91.358%
2025-08-13 19:00:39 - Subject: sub-020, Accuracy: 88.889%
2025-08-13 19:01:32 - Subject: sub-021, Accuracy: 92.593%
2025-08-13 19:02:21 - Subject: sub-022, Accuracy: 95.000%
2025-08-13 19:03:18 - Subject: sub-023, Accuracy: 86.250%
2025-08-13 19:04:13 - Subject: sub-024, Accuracy: 88.889%
2025-08-13 19:05:08 - Subject: sub-025, Accuracy: 86.420%
2025-08-13 19:05:54 - Subject: sub-026, Accuracy: 92.593%
2025-08-13 19:06:51 - Subject: sub-027, Accuracy: 96.250%
2025-08-13 19:07:48 - Subject: sub-028, Accuracy: 90.000%
2025-08-13 19:08:45 - Subject: sub-029, Accuracy: 97.468%
2025-08-13 19:09:33 - Subject: sub-030, Accuracy: 97.531%
2025-08-13 19:10:29 - Subject: sub-031, Accuracy: 91.358%
2025-08-13 19:11:21 - Subject: sub-032, Accuracy: 93.827%
2025-08-13 19:12:21 - Subject: sub-033, Accuracy: 93.827%
2025-08-13 19:13:17 - Subject: sub-034, Accuracy: 90.123%
2025-08-13 19:14:06 - Subject: sub-035, Accuracy: 87.654%
2025-08-13 19:15:04 - Subject: sub-036, Accuracy: 95.000%
2025-08-13 19:15:50 - Subject: sub-037, Accuracy: 87.654%
2025-08-13 19:16:40 - Subject: sub-038, Accuracy: 93.750%
2025-08-13 19:17:25 - Subject: sub-039, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-040, Accuracy: 95.062%
2025-08-13 19:18:11 - Subject: sub-001, Accuracy: 92.593%
2025-08-13 19:18:11 - Subject: sub-002, Accuracy: 90.123%
2025-08-13 19:18:11 - Subject: sub-003, Accuracy: 91.250%
2025-08-13 19:18:11 - Subject: sub-004, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-005, Accuracy: 92.500%
2025-08-13 19:18:11 - Subject: sub-006, Accuracy: 85.000%
2025-08-13 19:18:11 - Subject: sub-007, Accuracy: 97.531%
2025-08-13 19:18:11 - Subject: sub-008, Accuracy: 87.013%
2025-08-13 19:18:11 - Subject: sub-009, Accuracy: 92.593%
2025-08-13 19:18:11 - Subject: sub-010, Accuracy: 90.000%
2025-08-13 19:18:11 - Subject: sub-011, Accuracy: 92.593%
2025-08-13 19:18:11 - Subject: sub-012, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-013, Accuracy: 92.500%
2025-08-13 19:18:11 - Subject: sub-014, Accuracy: 93.750%
2025-08-13 19:18:11 - Subject: sub-015, Accuracy: 83.951%
2025-08-13 19:18:11 - Subject: sub-016, Accuracy: 95.062%
2025-08-13 19:18:11 - Subject: sub-017, Accuracy: 95.062%
2025-08-13 19:18:11 - Subject: sub-018, Accuracy: 95.062%
2025-08-13 19:18:11 - Subject: sub-019, Accuracy: 91.358%
2025-08-13 19:18:11 - Subject: sub-020, Accuracy: 88.889%
2025-08-13 19:18:11 - Subject: sub-021, Accuracy: 92.593%
2025-08-13 19:18:11 - Subject: sub-022, Accuracy: 95.000%
2025-08-13 19:18:11 - Subject: sub-023, Accuracy: 86.250%
2025-08-13 19:18:11 - Subject: sub-024, Accuracy: 88.889%
2025-08-13 19:18:11 - Subject: sub-025, Accuracy: 86.420%
2025-08-13 19:18:11 - Subject: sub-026, Accuracy: 92.593%
2025-08-13 19:18:11 - Subject: sub-027, Accuracy: 96.250%
2025-08-13 19:18:11 - Subject: sub-028, Accuracy: 90.000%
2025-08-13 19:18:11 - Subject: sub-029, Accuracy: 97.468%
2025-08-13 19:18:11 - Subject: sub-030, Accuracy: 97.531%
2025-08-13 19:18:11 - Subject: sub-031, Accuracy: 91.358%
2025-08-13 19:18:11 - Subject: sub-032, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-033, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-034, Accuracy: 90.123%
2025-08-13 19:18:11 - Subject: sub-035, Accuracy: 87.654%
2025-08-13 19:18:11 - Subject: sub-036, Accuracy: 95.000%
2025-08-13 19:18:11 - Subject: sub-037, Accuracy: 87.654%
2025-08-13 19:18:11 - Subject: sub-038, Accuracy: 93.750%
2025-08-13 19:18:11 - Subject: sub-039, Accuracy: 93.827%
2025-08-13 19:18:11 - Subject: sub-040, Accuracy: 95.062%
2025-08-13 19:18:11 - 
P3 Individual Models Statistics:
2025-08-13 19:18:11 - Mean Accuracy: 0.920
2025-08-13 19:18:11 - 95% Confidence Interval: [0.909, 0.931]
2025-08-13 19:18:11 - Best Subject: sub-007 (0.975)
2025-08-13 19:18:11 - Worst Subject: sub-015 (0.840)
